date,population,admission,release
2020-09-09,94104.8304437735,2241.999280487871,2548.47227145332
2020-09-10,93779.35745280804,2222.9992804878716,2357.2000492310976
2020-09-11,93769.60112850925,2348.9437249323155,2298.2000492310976
2020-09-12,93752.34480421049,2282.277058265649,982.2000492310978
2020-09-13,94517.25514657838,1745.2437249323157,981.4564594875079
2020-09-14,95130.11420689497,1590.8385967271877,2683.298584029633
2020-09-15,94567.244695783,2121.3290729176633,2396.031917362966
2020-09-16,94439.70851800437,2268.4957395843303,2403.531917362966
2020-09-17,94235.67234022572,2199.4957395843303,2352.031917362966
2020-09-18,94161.6361624471,2277.4957395843303,2344.9421737732223
2020-09-19,94053.97818979667,2239.1303549689455,976.788327619376
2020-09-20,94839.07021714625,1762.6303549689458,991.4383276193761
2020-09-21,95383.25315358672,1535.6212640598549,2656.1049942860427
2020-09-22,94875.26942336053,2148.121264059855,2415.1049942860427
2020-09-23,94670.28569313434,2210.121264059855,2377.4011765097903
2020-09-24,94448.61990372678,2160.2126598294935,2342.778449237063
2020-09-25,94274.48094358749,2168.6394890977863,2150.9451159037294
2020-09-26,94502.17531678155,2378.639489097786,1019.9451159037295
2020-09-27,95153.3696899756,1671.1394890977863,1027.607906601404
2020-09-28,95646.13383061152,1521.3487914233679,2651.9442999102575
2020-09-29,95164.56463791411,2170.3751072128416,2384.9442999102575
2020-09-30,94986.99544521667,2207.375107212841,2512.4776332435913
2020-10-01,94892.02625251928,2414.7392097769443,2493.8294480954055
2020-10-02,94689.76868153349,2293.545903083637,2082.0515134457823
2020-10-03,94560.77547456426,2056.612035747997,998.271909383893
2020-10-04,95095.78226759502,1532.6120357479974,866.4385760505597
2020-10-05,95542.12239395911,1313.2987024146641,2312.160394232378
2020-10-06,95118.5007021414,1887.538702414664,2119.8270608990447
2020-10-07,95030.54567699037,2031.8720357479972,2064.702060899044
2020-10-08,94992.84065183933,2026.9970357479972,2108.7020608990447
2020-10-09,94922.13562668826,2036.0739588249203,1844.835394232378
2020-10-10,95101.18060153724,2025.5470357479974,917.4187275657112
2020-10-11,95649.47557638618,1466.3803690813309,885.8353942323778
2020-10-12,96108.02055123512,1318.2803690813312,1740.0481912628509
2020-10-13,96010.27344531371,1660.1785537849275,2262.430489404125
2020-10-14,95739.32501648933,2036.2598927051645,2253.111237211199
2020-10-15,95480.49715504081,1995.6667090960234,1991.6195705445323
2020-10-16,95446.00262692565,1958.4583757626901,2126.3544190293806
2020-10-17,95182.77325032558,1863.1250424293569,951.8281032399068
2020-10-18,95627.37720705893,1395.0987266398834,816.9947699065735
2020-10-19,96137.48116379222,1327.5320599732167,2087.1392143510184
2020-10-20,95873.91845385887,1823.5765044176608,2079.6808810176844
2020-10-21,95728.14741059217,1931.909837750994,1959.485478718834
2020-10-22,95809.6461041676,2042.417523311048,2113.4280605048643
2020-10-23,95714.7760797943,2018.558036131561,2118.9583635351673
2020-10-24,95625.29999481492,2030.4671270406523,969.9432120200155
2020-10-25,96139.32390983557,1483.9671270406523,919.9432120200156
2020-10-26,96487.3478248562,1267.967127040652,2400.429698506502
2020-10-27,95944.59696510207,1857.6788387523638,2138.429698506502
2020-10-28,95687.84610534793,1881.6788387523638,2264.6102540620577
2020-10-29,95335.3035789271,1912.0677276412528,2015.5496480014515
2020-10-30,95152.7134334587,1835.6867752603005,2005.6102540620575
2020-10-31,95071.78995465694,1924.6867752603005,885.6677253264255
2020-11-01,95585.01781685137,1399.8783461415264,873.4504839471152
2020-11-02,96121.34567904577,1408.8283461415265,2122.783817280448
2020-11-03,95759.34020790682,1746.9512628081934,1831.0963172804481
2020-11-04,95595.06390343458,1668.3200128081933,1844.0963172804484
2020-11-05,95507.78759896231,1756.3200128081933,2022.7629839471151
2020-11-06,95519.89224687104,2034.867631855812,2078.179650613782
2020-11-07,95469.49689477972,2027.7842985224788,907.7629839471151
2020-11-08,96048.97654268843,1487.242631855812,935.9629839471152
2020-11-09,96396.25619059712,1274.4494829757068,2155.325781625968
2020-11-10,96059.20770426342,1819.1863862013595,2100.373761423947
2020-11-11,95928.5481068186,1969.7141639791375,998.8737614239476
2020-11-12,96420.38850937376,1490.7141639791378,2023.8737614239476
2020-11-13,96249.22891192898,1852.4141639791376,2112.1737614239473
2020-11-14,96078.93598115085,1941.8808306458043,950.6737614239477
2020-11-15,96528.1430503727,1399.880830645804,888.9237614239477
2020-11-16,96851.97511959456,1212.089163979137,2297.123761423948
2020-11-17,96258.44052214974,1703.5891639791375,2077.1237614239476
2020-11-18,96057.90592470494,1876.5891639791375,1979.1237614239474
2020-11-19,95768.37132726013,1684.7384993399064,2226.411101395498
2020-11-20,95535.69709017566,1991.8804049809046,2028.9334299441425
2020-11-21,95465.08345915185,1956.8197989202986,937.1641991749116
